"filename", "language", "JSON", "HTML", "JavaScript", "vue", "Markdown", "CSS", "XML", "comment", "blank", "total"
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 3, 6
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\index.html", "HTML", 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\package-lock.json", "JSON", 3362, 0, 0, 0, 0, 0, 0, 0, 1, 3363
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\package.json", "JSON", 39, 0, 0, 0, 0, 0, 0, 0, 1, 40
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\public\pyscript.html", "HTML", 0, 43, 0, 0, 0, 0, 0, 2, 3, 48
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\App.vue", "vue", 0, 0, 0, 8, 0, 0, 0, 0, 4, 12
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\store.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 1, 1, 12
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\user.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 1, 1, 10
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsBackpackOutlineRounded.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsBarChartRounded.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsClarifyOutlineRounded.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsContractEditRounded.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsExitToAppRounded.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsInfoOutlineRounded.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsMarkChatReadOutlineRounded.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsMarkdownCopyOutlineRounded.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsMilitaryTechOutlineRounded.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsRewardedAdsOutlineRounded.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsTerminalRounded.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsTollOutlineRounded.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsTrophyOutline.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\assets\icon\MaterialSymbolsVerifiedOutline.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\components\Header.vue", "vue", 0, 0, 0, 369, 0, 0, 0, 0, 6, 375
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\https\request.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\main.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 5, 5, 26
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\router\index.js", "JavaScript", 0, 0, 121, 0, 0, 0, 0, 1, 5, 127
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\store\user.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 2, 1, 25
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\style.css", "CSS", 0, 0, 0, 0, 0, 63, 0, 7, 9, 79
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Competition.vue", "vue", 0, 0, 0, 614, 0, 0, 0, 1, 14, 629
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Course.vue", "vue", 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Home.vue", "vue", 0, 0, 0, 581, 0, 0, 0, 0, 15, 596
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library.vue", "vue", 0, 0, 0, 493, 0, 0, 0, 1, 8, 502
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-basicSyntax.vue", "vue", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-calculator.vue", "vue", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-class.vue", "vue", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-comment.vue", "vue", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-controller.vue", "vue", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-dataStructure.vue", "vue", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-error.vue", "vue", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-inputAndOuput.vue", "vue", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-install.vue", "vue", 0, 0, 0, 31, 0, 0, 0, 0, 2, 33
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-interpreter.vue", "vue", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-introduction.vue", "vue", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-module.vue", "vue", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-next.vue", "vue", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python-standardLibrary.vue", "vue", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\Python.vue", "vue", 0, 0, 0, 108, 0, 0, 0, 0, 3, 111
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Library\python\install\Install-Windows.vue", "vue", 0, 0, 0, 731, 0, 0, 0, 0, 6, 737
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Problem.vue", "vue", 0, 0, 0, 373, 0, 0, 0, 0, 8, 381
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Search.vue", "vue", 0, 0, 0, 158, 0, 0, 0, 0, 8, 166
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Store.vue", "vue", 0, 0, 0, 222, 0, 0, 0, 0, 5, 227
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\problem\WorkingArea.vue", "vue", 0, 0, 0, 308, 0, 0, 0, 0, 7, 315
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\tool\EditProblem.vue", "vue", 0, 0, 0, 285, 0, 0, 0, 0, 8, 293
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\tool\LCPlab.vue", "vue", 0, 0, 0, 32, 0, 0, 0, 0, 5, 37
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\tool\Login.vue", "vue", 0, 0, 0, 267, 0, 0, 0, 0, 17, 284
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\tool\MyProblem.vue", "vue", 0, 0, 0, 279, 0, 0, 0, 0, 4, 283
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\tool\MySolution.vue", "vue", 0, 0, 0, 6, 0, 0, 0, 0, 5, 11
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\vite.config.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 3, 2, 44
"Total", "-", 3401, 56, 223, 5007, 3, 63, 14, 24, 217, 9008
