"filename", "language", "vue", "JavaScript", "comment", "blank", "total"
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\problem.js", "JavaScript", 0, 23, 2, 3, 28
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\user.js", "JavaScript", 0, 7, 0, 0, 7
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\workingArea.js", "JavaScript", 0, 9, 1, 1, 11
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\components\Header.vue", "vue", -4, 0, 0, 0, -4
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\https\request.js", "JavaScript", 0, -1, 0, 0, -1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\https\requestWI.js", "JavaScript", 0, 60, 9, 4, 73
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\router\index.js", "JavaScript", 0, 12, 0, 0, 12
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\store\user.js", "JavaScript", 0, 7, 0, 0, 7
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Course.vue", "vue", 190, 0, 0, 4, 194
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Course\CourseInfo.vue", "vue", 182, 0, 0, 4, 186
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Problem.vue", "vue", 17, 0, 0, 0, 17
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Store.vue", "vue", 4, 0, 0, 0, 4
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\problem\WorkingArea.vue", "vue", 12, 0, 0, 3, 15
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\tool\Backpack.vue", "vue", 130, 0, 0, 7, 137
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\tool\EditCollection.vue", "vue", 70, 0, 0, 0, 70
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\tool\EditProblem.vue", "vue", 49, 0, 0, 5, 54
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\tool\Login.vue", "vue", 14, 0, 0, 2, 16
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\tool\PersonalCenter.vue", "vue", 891, 0, 0, 26, 917
"Total", "-", 1555, 117, 12, 59, 1743
