"filename", "language", "JavaScript", "CSS", "vue", "comment", "blank", "total"
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\competition.js", "JavaScript", 25, 0, 0, 0, 4, 29
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\header.js", "JavaScript", 7, 0, 0, 1, 1, 9
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\home.js", "JavaScript", 0, 0, 0, 0, 1, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\myProblem.js", "JavaScript", 75, 0, 0, 8, 1, 84
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\problem.js", "JavaScript", -9, 0, 0, -1, 1, -9
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\solution.js", "JavaScript", 30, 0, 0, 3, 3, 36
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\user.js", "JavaScript", 0, 0, 0, 1, 1, 2
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\api\workingArea.js", "JavaScript", 19, 0, 0, 2, 0, 21
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\components\Header.vue", "vue", 0, 0, 9, 0, 1, 10
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\https\requestWI.js", "JavaScript", -1, 0, 0, 1, 0, 0
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\https\websocket.js", "JavaScript", 1, 0, 0, 0, 0, 1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\router\index.js", "JavaScript", 8, 0, 0, 0, 0, 8
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\store\controller.js", "JavaScript", 14, 0, 0, 2, 1, 17
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\store\user.js", "JavaScript", 7, 0, 0, 0, 0, 7
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\store\websocket.js", "JavaScript", 15, 0, 0, 2, 2, 19
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\style.css", "CSS", 0, 15, 0, 0, 0, 15
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Competition.vue", "vue", 0, 0, 53, 0, 3, 56
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Course\CourseInfo.vue", "vue", 0, 0, 39, 0, 0, 39
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Problem.vue", "vue", 0, 0, -2, 0, 1, -1
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Search.vue", "vue", 0, 0, -2, 0, -1, -3
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\Store.vue", "vue", 0, 0, 27, 0, 2, 29
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\problem\SingCompetitionArea.vue", "vue", 0, 0, 546, 0, 16, 562
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\problem\WorkingArea.vue", "vue", 0, 0, 263, 0, -1, 262
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\tool\Backpack.vue", "vue", 0, 0, 136, 0, 0, 136
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\tool\EditCollection.vue", "vue", 0, 0, 113, 0, 2, 115
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\tool\EditProblem.vue", "vue", 0, 0, 41, 0, -1, 40
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\tool\EditSolution.vue", "vue", 0, 0, 240, 0, 12, 252
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\tool\Login.vue", "vue", 0, 0, -1, 0, -1, -2
"d:\Training-workspace\project-ws\loop-code-plus_vue_5\project\loop-code-plus-vue-5\src\view\tool\MyProblem.vue", "vue", 0, 0, 48, 0, 7, 55
"Total", "-", 191, 15, 1510, 19, 55, 1790
